,Quarter,Time,Tm,Detail,ATL,DAL
0,1.0,9:53,Cowboys,Richie Cunningham 23 yard field goal,0,3
1,1.0,0:31,Cowboys,Emmitt Smith 2 yard rush (Richie Cunningham kick),0,10
2,3.0,11:24,Cowboys,Emmitt Smith 7 yard rush (Richie Cunningham kick),0,17
3,4.0,4:00,Falcons,Tim Dwight 45 yard pass from Danny Kanell (Morten Andersen kick),7,17
4,4.0,0:46,Cowboys,Greg Ellis 87 yard interception return (Richie Cunningham kick),7,24
