,Quarter,Time,Tm,Detail,BAL,NYG
0,1.0,6:50,Ravens,Brandon Stokley 38 yard pass from Trent Dilfer (Matt Stover kick),7,0
1,2.0,1:41,Ravens,Matt Stover 47 yard field goal,10,0
2,3.0,3:49,Ravens,Duane Starks 49 yard interception return (Matt Stover kick),17,0
3,3.0,3:31,Giants,Ron Dixon 97 yard kickoff return (Brad Daluiso kick),17,7
4,3.0,3:13,Ravens,Jermaine Lewis 84 yard kickoff return (Matt Stover kick),24,7
5,4.0,8:45,Ravens,Jamal Lewis 3 yard rush (Matt Stover kick),31,7
6,4.0,5:27,Ravens,Matt Stover 34 yard field goal,34,7
