,Quarter,Tm,Detail,DAL,STL
0,1.0,Cardinals,Roy Green 39 yard pass from Jim Hart (Neil O'Donoghue kick),0,7
1,1.0,Cardinals,Neil O'Donoghue 23 yard field goal,0,10
2,2.0,Cowboys,Ron Springs 1 yard rush (Rafael Septien kick),7,10
3,2.0,Cowboys,Drew Pearson 10 yard pass from Danny White (Rafael Septien kick),14,10
4,2.0,Cowboys,Rafael Septien 45 yard field goal,17,10
5,3.0,Cowboys,Ron Springs 19 yard rush (Rafael Septien kick),24,10
6,4.0,Cowboys,Dennis Thurman defensive fumble recovery in end zone (Rafael Septien kick),31,10
7,4.0,Cardinals,Stump Mitchell 5 yard rush (Neil O'Donoghue kick),31,17
8,4.0,Cowboys,Rafael Septien 24 yard field goal,34,17
