,Quarter,Tm,Detail,OOR,AKR
0,1.0,Pros,Carl Cramer 4 yard rush,0,6
1,1.0,Pros,Carl Cramer 6 yard rush (Paul Sheeks kick),0,13
2,1.0,Pros,Rip King 2 yard rush (Paul Sheeks kick),0,20
3,2.0,Pros,Rip King 50 yard interception return (Paul Sheeks kick),0,27
4,3.0,Pros,Red Daum 45 yard pass from Rip King (Paul Sheeks kick),0,34
5,3.0,Pros,Rip King 1 yard rush (Joe Mills pass from Paul Sheeks),0,41
6,4.0,Pros,Joe Mills 5 yard rush (Rip King kick),0,48
7,4.0,Pros,Walt LeJeune 1 yard rush (Rip King kick),0,55
8,4.0,Pros,Walt LeJeune 5 yard rush (Paul Sheeks kick),0,62
