,Quarter,Time,Tm,Detail,STL,NOR
0,1.0,,Rams,Chip Lohmiller 35 yard field goal,3,0
1,1.0,,Saints,Doug Brien 30 yard field goal,3,3
2,2.0,,Rams,Chip Lohmiller 32 yard field goal,6,3
3,2.0,,Saints,Torrance Small 17 yard rush (Doug Brien kick),6,10
4,2.0,,Rams,Isaac Bruce 10 yard pass from Tony Banks (Chip Lohmiller kick),13,10
5,3.0,,Rams,Chip Lohmiller 49 yard field goal,16,10
6,3.0,,Rams,Harold Green 1 yard rush (Chip Lohmiller kick),23,10
7,4.0,,Rams,Chip Lohmiller 27 yard field goal,26,10
