,Quarter,Tm,Detail,MIL,GNB
0,4.0,Packers,Cub Buck 20 yard field goal,0,3
1,4.0,Packers,Curly Lambeau unknown yard pass from Cub Buck (Cub Buck kick),0,10
2,4.0,Packers,Charlie Mathys unknown yard pass from Curly Lambeau (Cub Buck kick),0,17
