,Quarter,Tm,Detail,WAS,CLE
0,1.0,Browns,Leroy Kelly 42 yard rush (Lou Groza kick),0,7
1,1.0,Browns,Johnny Brewer 70 yard interception return (Lou Groza kick),0,14
2,2.0,Redskins,Charley Taylor 23 yard pass from Sonny Jurgensen (Gene Mingo kick),7,14
3,2.0,Redskins,Gene Mingo 27 yard field goal,10,14
4,2.0,Browns,Carl Ward 104 yard kickoff return (Lou Groza kick),10,21
5,2.0,Browns,Paul Warfield 48 yard pass from Frank Ryan (Lou Groza kick),10,28
6,2.0,Redskins,Charley Taylor 15 yard pass from Sonny Jurgensen (Gene Mingo kick),17,28
7,3.0,Browns,Ernie Green 1 yard rush (Lou Groza kick),17,35
8,3.0,Redskins,Gerry Allen 1 yard rush (Gene Mingo kick),24,35
9,4.0,Browns,Leroy Kelly 21 yard rush (Lou Groza kick),24,42
10,4.0,Redskins,Bobby Mitchell 48 yard pass from Sonny Jurgensen (Gene Mingo kick),31,42
11,4.0,Redskins,Gerry Allen 1 yard rush,37,42
