,Quarter,Time,Tm,Detail,OAK,STL
0,1.0,7:21,Rams,Isaac Bruce 7 yard pass from Marc Bulger (Jeff Wilkins kick),0,7
1,2.0,10:32,Rams,Torry Holt 13 yard pass from Marc Bulger (Jeff Wilkins kick),0,14
2,2.0,5:13,Raiders,Sebastian Janikowski 43 yard field goal,3,14
3,3.0,7:58,Raiders,Sebastian Janikowski 32 yard field goal,6,14
4,4.0,13:40,Rams,Marshall Faulk 10 yard pass from Marc Bulger (Jeff Wilkins kick),6,21
5,4.0,11:15,Rams,Marc Bulger 1 yard rush (Jeff Wilkins kick),6,28
6,4.0,8:05,Raiders,Terry Kirby 2 yard pass from Rich Gannon (Sebastian Janikowski kick),13,28
