,Quarter,Time,Tm,Detail,NYJ,BUF
0,1.0,,Jets,Wayne Chrebet 7 yard pass from Vinny Testaverde (John Hall kick),7,0
1,2.0,,Bills,Thurman Thomas 25 yard pass from Doug Flutie (Steve Christie kick),7,7
2,3.0,,Jets,John Hall 48 yard field goal,10,7
3,3.0,,Bills,Steve Christie 44 yard field goal,10,10
4,3.0,,Jets,Dedric Ward 71 yard pass from Vinny Testaverde (John Hall kick),17,10
