,Quarter,Tm,Detail,PHI,SFO
0,1.0,49ers,Jerry Rice 22 yard pass from Steve Young (Mike Cofer kick),0,7
1,2.0,49ers,Mike Cofer 22 yard field goal,0,10
2,3.0,Eagles,Fred Barnett 23 yard pass from Randall Cunningham (Roger Ruzek kick),7,10
3,3.0,49ers,Mike Cofer 28 yard field goal,7,13
4,4.0,49ers,Dexter Carter 43 yard pass from Steve Young (Mike Cofer kick),7,20
5,4.0,Eagles,Keith Byars 11 yard pass from Randall Cunningham (Roger Ruzek kick),14,20
