,Quarter,Tm,Detail,DEN,NYJ
0,1.0,Broncos,Gene Washington 15 yard pass from Charley Johnson (Jim Turner kick),7,0
1,1.0,Broncos,Riley Odoms 21 yard pass from Charley Johnson (Jim Turner kick),14,0
2,1.0,Broncos,Leroy Mitchell 40 yard interception return (Jim Turner kick),21,0
3,1.0,Jets,Burgess Owens 82 yard kickoff return (Bobby Howfield kick),21,7
4,2.0,Broncos,Jim Turner 21 yard field goal,24,7
5,2.0,Broncos,Jim Turner 47 yard field goal,27,7
6,2.0,Broncos,Jim Turner 19 yard field goal,30,7
7,3.0,Jets,Emerson Boozer 1 yard rush (Bobby Howfield kick),30,14
8,3.0,Jets,Jerome Barkum 30 yard pass from Al Woodall (Bobby Howfield kick),30,21
9,3.0,Broncos,Haven Moses 76 yard pass from Steve Ramsey (Jim Turner kick),37,21
10,3.0,Jets,Jerome Barkum 56 yard pass from Al Woodall (Bobby Howfield kick),37,28
11,4.0,Broncos,Jim Turner 33 yard field goal,40,28
