,Quarter,Tm,Detail,MIN,GNB
0,1.0,Packers,Paul Hornung 1 yard rush (Paul Hornung kick),0,7
1,1.0,Packers,Ron Kramer 10 yard pass from Paul Hornung (Paul Hornung kick),0,14
2,2.0,Packers,Jim Taylor 8 yard pass from Bart Starr (Paul Hornung kick),0,21
3,2.0,Vikings,Jerry Reichow 19 yard pass from George Shaw (Mike Mercer kick),7,21
4,3.0,Vikings,Mike Mercer 13 yard field goal,10,21
5,4.0,Packers,Max McGee 23 yard pass from Bart Starr (Paul Hornung kick),10,28
