,Quarter,Tm,Detail,PIT,DET
0,1.0,Lions,Bill Shepherd 27 yard field goal,0,3
1,1.0,Lions,Ernie Caddel 5 yard rush,0,9
2,2.0,Lions,Lloyd Cardwell 5 yard rush (Monk Moscrip kick),0,16
3,4.0,Pirates,Whizzer White 3 yard rush (Armand Niccolai kick),7,16
