,Quarter,Time,Tm,Detail,DEN,KAN
0,1.0,11:12,Broncos,Jason Elam 44 yard field goal,3,0
1,1.0,5:38,Chiefs,Dave Rayner 38 yard field goal,3,3
2,2.0,14:35,Chiefs,"Safety,",3,5
3,2.0,9:18,Broncos,Jason Elam 50 yard field goal,6,5
4,2.0,2:40,Chiefs,Dave Rayner 36 yard field goal,6,8
5,3.0,13:32,Broncos,Selvin Young 20 yard rush (Jason Elam kick),13,8
6,3.0,13:23,Broncos,Nate Webster 17 yard defensive fumble return (Jason Elam kick),20,8
7,3.0,6:55,Chiefs,Dave Rayner 39 yard field goal,20,11
8,4.0,10:44,Broncos,Daniel Graham 18 yard pass from Jay Cutler (Jason Elam kick),27,11
