,Quarter,Time,Tm,Detail,NWE,NOR
0,1.0,10:31,Patriots,Rex Burkhead 19 yard pass from Tom Brady (Stephen Gostkowski kick failed),6,0
1,1.0,7:38,Saints,Wil Lutz 46 yard field goal,6,3
2,1.0,5:29,Patriots,Rob Gronkowski 53 yard pass from Tom Brady (Stephen Gostkowski kick),13,3
3,1.0,0:16,Patriots,Chris Hogan 13 yard pass from Tom Brady (Stephen Gostkowski kick),20,3
4,2.0,11:52,Saints,Brandon Coleman 5 yard pass from Drew Brees (Wil Lutz kick),20,10
5,2.0,8:18,Saints,Wil Lutz 35 yard field goal,20,13
6,2.0,4:47,Patriots,Mike Gillislee 2 yard rush (Stephen Gostkowski kick),27,13
7,2.0,0:00,Patriots,Stephen Gostkowski 28 yard field goal,30,13
8,3.0,0:40,Patriots,Stephen Gostkowski 24 yard field goal,33,13
9,4.0,8:49,Patriots,Stephen Gostkowski 27 yard field goal,36,13
10,4.0,5:04,Saints,Coby Fleener 4 yard pass from Drew Brees (Wil Lutz kick),36,20
