,Quarter,Time,Tm,Detail,BUF,IND
0,1.0,6:55,Bills,Steve Christie 29 yard field goal,3,0
1,1.0,2:28,Colts,Mike Vanderjagt 37 yard field goal,3,3
2,2.0,12:17,Colts,Mike Vanderjagt 23 yard field goal,3,6
3,2.0,6:32,Bills,Steve Christie 46 yard field goal,6,6
4,2.0,0:00,Colts,Mike Vanderjagt 39 yard field goal,6,9
5,3.0,10:52,Colts,Edgerrin James 1 yard rush (Mike Vanderjagt kick),6,16
6,3.0,3:58,Colts,Bernard Holsey 48 yard defensive fumble return (Mike Vanderjagt kick),6,23
7,3.0,0:35,Bills,Sammy Morris 1 yard rush,12,23
8,4.0,10:15,Colts,Edgerrin James 1 yard rush (Mike Vanderjagt kick),12,30
9,4.0,9:51,Colts,Mustafah Muhammad 40 yard interception return (Mike Vanderjagt kick),12,37
10,4.0,6:24,Bills,Peerless Price 29 yard pass from Doug Flutie (Shawn Bryson run),20,37
11,4.0,4:11,Colts,Edgerrin James 13 yard rush (Mike Vanderjagt kick),20,44
