,Quarter,Time,Tm,Detail,TAM,OAK
0,1.0,10:40,Raiders,Sebastian Janikowski 40 yard field goal,0,3
1,1.0,7:51,Buccaneers,Martin Gramatica 31 yard field goal,3,3
2,2.0,11:16,Buccaneers,Martin Gramatica 43 yard field goal,6,3
3,2.0,6:24,Buccaneers,Mike Alstott 2 yard rush (Martin Gramatica kick),13,3
4,2.0,0:30,Buccaneers,Keenan McCardell 5 yard pass from Brad Johnson (Martin Gramatica kick),20,3
5,3.0,5:30,Buccaneers,Keenan McCardell 8 yard pass from Brad Johnson (Martin Gramatica kick),27,3
6,3.0,4:47,Buccaneers,Dwight Smith 44 yard interception return (Martin Gramatica kick),34,3
7,3.0,2:14,Raiders,Jerry Porter 39 yard pass from Rich Gannon (pass failed),34,9
8,4.0,14:16,Raiders,Eric Johnson 13 yard blocked punt return (pass failed),34,15
9,4.0,6:06,Raiders,Jerry Rice 48 yard pass from Rich Gannon (pass failed),34,21
10,4.0,1:18,Buccaneers,Derrick Brooks 44 yard interception return (Martin Gramatica kick),41,21
11,4.0,0:02,Buccaneers,Dwight Smith 50 yard interception return (Martin Gramatica kick),48,21
