,Quarter,Time,Tm,Detail,DET,MIN
0,1.0,,Lions,Jason Hanson 37 yard field goal,3,0
1,2.0,,Lions,Jason Hanson 49 yard field goal,6,0
2,2.0,,Vikings,Gary Anderson 27 yard field goal,6,3
3,2.0,1:54,Vikings,Gary Anderson 28 yard field goal,6,6
4,3.0,1:54,Vikings,Randy Moss 5 yard pass from Randall Cunningham (Gary Anderson kick),6,13
5,3.0,1:54,Vikings,Gary Anderson 42 yard field goal,6,16
6,3.0,1:54,Vikings,Gary Anderson 29 yard field goal,6,19
7,4.0,14:50,Vikings,Leroy Hoard 11 yard rush (Gary Anderson kick),6,26
8,4.0,1:54,Vikings,Gary Anderson 34 yard field goal,6,29
