,Quarter,Tm,Detail,CHI,DAL
0,1.0,Bears,Richard Dent 1 yard interception return (Kevin Butler kick),7,0
1,2.0,Bears,Kevin Butler 44 yard field goal,10,0
2,2.0,Bears,Mike Richardson 36 yard interception return (Kevin Butler kick),17,0
3,2.0,Bears,Steve Fuller 1 yard rush (Kevin Butler kick),24,0
4,3.0,Bears,Kevin Butler 46 yard field goal,27,0
5,4.0,Bears,Kevin Butler 22 yard field goal,30,0
6,4.0,Bears,Calvin Thomas 17 yard rush (Kevin Butler kick),37,0
7,4.0,Bears,Dennis Gentry 16 yard rush (Kevin Butler kick),44,0
