,Quarter,Time,Tm,Detail,MIA,BUF
0,1.0,3:30,Dolphins,Lamar Smith 1 yard rush (Olindo Mare kick),7,0
1,1.0,3:07,Bills,Eric Moulds 80 yard pass from Alex Van Pelt (Jake Arians kick),7,7
2,2.0,8:45,Dolphins,Olindo Mare 25 yard field goal,10,7
3,2.0,0:06,Bills,Sheldon Jackson 1 yard pass from Alex Van Pelt (Jake Arians kick),10,14
4,3.0,11:58,Bills,Eric Moulds 54 yard pass from Alex Van Pelt (Jake Arians kick),10,21
5,4.0,14:56,Dolphins,Jed Weaver 8 yard pass from Jay Fiedler (Olindo Mare kick),17,21
6,4.0,8:16,Bills,Travis Henry 8 yard rush (Jake Arians kick failed),17,27
7,4.0,4:07,Dolphins,Chris Chambers 22 yard pass from Jay Fiedler (Olindo Mare kick),24,27
8,4.0,1:11,Dolphins,Olindo Mare 39 yard field goal,27,27
9,4.0,0:48,Dolphins,Chris Chambers 32 yard pass from Jay Fiedler (Olindo Mare kick),34,27
