,Quarter,Tm,Detail,DEN,RAM
0,1.0,Rams,Mike Lansford 37 yard field goal,0,3
1,2.0,Broncos,Rich Karlis 24 yard field goal,3,3
2,2.0,Rams,David Hill 2 yard pass from Dieter Brock (Mike Lansford kick),3,10
3,2.0,Broncos,Butch Johnson 28 yard pass from John Elway,9,10
4,2.0,Broncos,Clint Sampson 25 yard pass from John Elway (Rich Karlis kick),16,10
5,4.0,Rams,Mike Lansford 33 yard field goal,16,13
6,4.0,Rams,Charles White 8 yard rush (Mike Lansford kick),16,20
