,Quarter,Tm,Detail,DAY,CRD
0,1,Triangles,Russ Hathaway 25 yard field goal,3,0
1,2,Cardinals,Paddy Driscoll 25 yard field goal,3,3
2,3,Cardinals,Paddy Driscoll 25 yard field goal,3,6
3,4,Cardinals,Paddy Driscoll unknown yard rush (Paddy Driscoll kick),3,13
