,Quarter,Tm,Detail,KAN,DEN
0,1.0,Broncos,Steve Wilson 43 yard pass from Chris Norman (Rich Karlis kick),0,7
1,1.0,Broncos,Andre Townsend 7 yard defensive fumble return (Rich Karlis kick),0,14
2,1.0,Broncos,Gerald Willhite 1 yard rush (Rich Karlis kick),0,21
3,2.0,Broncos,Gerald Willhite 70 yard punt return (Rich Karlis kick),0,28
4,2.0,Broncos,Rich Karlis 37 yard field goal,0,31
5,2.0,Chiefs,Henry Marshall 15 yard pass from Bill Kenney (Nick Lowery kick),7,31
6,3.0,Chiefs,Carlos Carson 27 yard pass from Bill Kenney (Nick Lowery kick),14,31
7,3.0,Broncos,Gerald Willhite 1 yard rush (Rich Karlis kick),14,38
8,3.0,Chiefs,Nick Lowery 37 yard field goal,17,38
