,Quarter,Time,Tm,Detail,KAN,ARI
0,1.0,12:19,Cardinals,Anquan Boldin 49 yard pass from Matt Leinart (Neil Rackers kick),0,7
1,1.0,6:12,Cardinals,Larry Fitzgerald 5 yard pass from Matt Leinart (Neil Rackers kick),0,14
2,2.0,12:01,Chiefs,Lawrence Tynes 45 yard field goal,3,14
3,2.0,3:26,Chiefs,Larry Johnson 9 yard pass from Damon Huard (Lawrence Tynes kick),10,14
4,2.0,0:42,Cardinals,Neil Rackers 41 yard field goal,10,17
5,3.0,10:06,Cardinals,Neil Rackers 45 yard field goal,10,20
6,4.0,9:35,Chiefs,Samie Parker 15 yard pass from Damon Huard (Lawrence Tynes kick),17,20
7,4.0,5:06,Chiefs,Lawrence Tynes 40 yard field goal,20,20
8,4.0,1:36,Chiefs,Lawrence Tynes 19 yard field goal,23,20
