,Quarter,Time,Tm,Detail,STL,NYG
0,1.0,5:02,Rams,Jeff Wilkins 39 yard field goal,3,0
1,1.0,2:10,Giants,Kenny Holmes defensive fumble recovery in end zone (Matt Bryant kick),3,7
2,2.0,9:57,Giants,Matt Bryant 24 yard field goal,3,10
3,2.0,3:18,Rams,Jeff Wilkins 28 yard field goal,6,10
4,3.0,8:45,Giants,Matt Bryant 47 yard field goal,6,13
5,3.0,5:03,Giants,Brian Mitchell 1 yard rush (Matt Bryant kick),6,20
6,3.0,2:43,Giants,Matt Bryant 44 yard field goal,6,23
7,4.0,14:03,Rams,Torry Holt 37 yard pass from Kurt Warner (Jeff Wilkins kick),13,23
