,Quarter,Time,Tm,Detail,CAR,ARI
0,1.0,4:34,Cardinals,Larry Fitzgerald 1 yard pass from Kyler Murray (Zane Gonzalez kick),0,7
1,2.0,14:15,Panthers,Curtis Samuel 5 yard pass from Kyle Allen (Joey Slye kick),7,7
2,2.0,1:40,Cardinals,Zane Gonzalez 34 yard field goal,7,10
3,2.0,0:58,Panthers,D.J. Moore 52 yard pass from Kyle Allen (Joey Slye kick),14,10
4,3.0,11:31,Cardinals,David Johnson 3 yard pass from Kyler Murray (Zane Gonzalez kick),14,17
5,3.0,7:47,Panthers,Greg Olsen 3 yard pass from Kyle Allen (Joey Slye kick),21,17
6,3.0,2:52,Cardinals,Zane Gonzalez 47 yard field goal,21,20
7,3.0,2:05,Panthers,Christian McCaffrey 76 yard rush (Joey Slye kick),28,20
8,4.0,13:37,Panthers,Greg Olsen 3 yard pass from Kyle Allen (Joey Slye kick),35,20
9,4.0,4:31,Panthers,Joey Slye 36 yard field goal,38,20
