,Quarter,Time,Tm,Detail,ATL,SDG
0,1.0,9:43,Falcons,Jacquizz Rodgers 8 yard pass from Matt Ryan (run failed),6,0
1,2.0,2:32,Falcons,Tony Gonzalez 7 yard pass from Matt Ryan (Matt Bryant kick),13,0
2,2.0,0:54,Falcons,Julio Jones 9 yard pass from Matt Ryan (Matt Bryant kick),20,0
3,3.0,11:10,Chargers,Nate Kaeding 41 yard field goal,20,3
4,4.0,8:51,Falcons,Michael Turner 7 yard rush (Matt Bryant kick),27,3
