,Quarter,Time,Tm,Detail,BUF,TAM
0,1.0,12:17,Buccaneers,Martin Gramatica 45 yard field goal,0,3
1,2.0,9:42,Bills,Jonathan Linton 4 yard pass from Rob Johnson (Steve Christie kick),7,3
2,2.0,3:34,Buccaneers,Shaun King 2 yard rush (Martin Gramatica kick),7,10
3,4.0,11:38,Buccaneers,Warrick Dunn 6 yard rush (Martin Gramatica kick),7,17
4,4.0,8:56,Bills,Eric Moulds 19 yard pass from Rob Johnson (Steve Christie kick),14,17
5,4.0,5:34,Buccaneers,Karl Williams 73 yard punt return (Martin Gramatica kick),14,24
6,4.0,2:27,Bills,Steve Christie 28 yard field goal,17,24
7,4.0,2:08,Buccaneers,Warrick Dunn 39 yard rush (Martin Gramatica kick),17,31
