,Quarter,Time,Tm,Detail,IND,DEN
0,1,7:29,Colts,Mike Vanderjagt 41 yard field goal,3,0
1,2,8:27,Broncos,Rod Smith 12 yard pass from Steve Beuerlein (Jason Elam kick failed),3,6
2,3,11:53,Broncos,Clinton Portis 11 yard rush (Jason Elam kick),3,13
3,3,2:49,Colts,James Mungro 1 yard rush (Mike Vanderjagt kick),10,13
4,3,1:15,Colts,Edgerrin James 2 yard rush (Mike Vanderjagt kick),17,13
5,4,9:29,Broncos,Clinton Portis 9 yard rush (Jason Elam kick),17,20
6,4,0:03,Colts,Mike Vanderjagt 54 yard field goal,20,20
7,OT,9:22,Colts,Mike Vanderjagt 51 yard field goal,23,20
