,Quarter,Tm,Detail,TAM,DET
0,1.0,Lions,Barry Sanders 7 yard rush (Eddie Murray kick),0,7
1,1.0,Lions,Willie Green 26 yard pass from Rodney Peete (Eddie Murray kick),0,14
2,2.0,Lions,Barry Sanders 1 yard rush (Eddie Murray kick),0,21
3,2.0,Buccaneers,Steve Christie 32 yard field goal,3,21
4,4.0,Lions,Eddie Murray 38 yard field goal,3,24
5,4.0,Lions,Barry Sanders 69 yard rush (Eddie Murray kick),3,31
