,Quarter,Time,Tm,Detail,ARI,PIT
0,2.0,5:59,Steelers,Chris Doering 9 yard pass from Tommy Maddox (Jeff Reed kick),0,7
1,2.0,0:11,Cardinals,Tim Duncan 20 yard field goal,3,7
2,3.0,13:16,Steelers,Hines Ward 5 yard pass from Tommy Maddox (Jeff Reed kick),3,14
3,3.0,12:09,Steelers,Hines Ward 22 yard pass from Tommy Maddox (Jeff Reed kick),3,21
4,3.0,6:33,Steelers,Antwaan Randle El 52 yard punt return (Jeff Reed kick),3,28
5,3.0,2:29,Cardinals,Anquan Boldin 11 yard pass from Jeff Blake (Tim Duncan kick failed),9,28
6,4.0,0:17,Cardinals,Bryant Johnson 54 yard pass from Jeff Blake (pass failed),15,28
