,Quarter,Time,Tm,Detail,NYJ,BAL
0,1.0,12:36,Jets,Dedric Ward 37 yard pass from Vinny Testaverde (Brett Conway kick),7,0
1,1.0,8:49,Jets,Richie Anderson 35 yard pass from Vinny Testaverde (Brett Conway kick),14,0
2,2.0,12:07,Ravens,Qadry Ismail 7 yard pass from Trent Dilfer (Matt Stover kick),14,7
3,2.0,10:13,Ravens,Matt Stover 42 yard field goal,14,10
4,2.0,6:21,Ravens,"Safety,",14,12
5,2.0,0:07,Ravens,Chris McAlister 98 yard interception return (Jamal Lewis run),14,20
6,3.0,10:58,Jets,Brett Conway 40 yard field goal,17,20
7,3.0,6:19,Ravens,Jermaine Lewis 54 yard punt return (Matt Stover kick),17,27
8,4.0,11:59,Jets,Brett Conway 19 yard field goal,20,27
9,4.0,5:02,Ravens,Jermaine Lewis 89 yard punt return (Matt Stover kick),20,34
