,Quarter,Tm,Detail,PHI,DET
0,2.0,Lions,Whizzer White 1 yard rush (Augie Lio kick),0,7
1,2.0,Eagles,Len Barnum 19 yard field goal,3,7
2,3.0,Eagles,Nick Basca 2 yard rush (Nick Basca kick),10,7
3,4.0,Eagles,Jim Castiglia 1 yard rush (Nick Basca kick),17,7
4,4.0,Lions,Whizzer White 71 yard pass from Dick Booth (Augie Lio kick),17,14
5,4.0,Lions,Maurice Britt 45 yard pass from Dick Booth (Augie Lio kick),17,21
