,Quarter,Tm,Detail,BAL,GNB
0,1.0,Packers,Dale Livingston 20 yard field goal,0,3
1,2.0,Colts,Jerry Hill 15 yard rush (Jim O'Brien kick),7,3
2,3.0,Colts,Jim O'Brien 42 yard field goal,10,3
3,3.0,Colts,Jim O'Brien 29 yard field goal,13,3
4,4.0,Packers,Jim Grabowski 1 yard rush (Dale Livingston kick),13,10
