,Quarter,Tm,Detail,PHO,SFO
0,2.0,49ers,Keith Henderson 2 yard rush (Mike Cofer kick),0,7
1,3.0,Cardinals,Greg Davis 35 yard field goal,3,7
2,4.0,49ers,Tom Rathman 1 yard rush (Mike Cofer kick),3,14
3,4.0,Cardinals,Ernie Jones 26 yard pass from Stan Gelbaugh (Greg Davis kick),10,14
