,Quarter,Tm,Detail,PHI,BAL
0,1.0,Eagles,Sam Baker 24 yard field goal,3,0
1,2.0,Colts,Lou Michaels 20 yard field goal,3,3
2,2.0,Colts,Jerry Hill 1 yard rush (Lou Michaels kick),3,10
3,2.0,Eagles,Harold Jackson 28 yard pass from Norm Snead (Sam Baker kick),10,10
4,3.0,Eagles,Nate Ramsey 26 yard interception return (Sam Baker kick),17,10
5,3.0,Colts,Tom Matte 2 yard rush (Lou Michaels kick),17,17
6,4.0,Eagles,Sam Baker 18 yard field goal,20,17
7,4.0,Colts,Tom Matte 1 yard rush (Lou Michaels kick),20,24
