,Quarter,Tm,Detail,KAN,RAI
0,1.0,Chiefs,Nick Lowery 40 yard field goal,3,0
1,1.0,Chiefs,Stephone Paige 26 yard pass from Bill Kenney (Nick Lowery kick),10,0
2,2.0,Chiefs,Jeff Smith 2 yard rush (Nick Lowery kick),17,0
3,2.0,Raiders,Rod Barksdale 34 yard pass from Jim Plunkett (Chris Bahr kick),17,7
4,2.0,Raiders,Chris Bahr 19 yard field goal,17,10
5,2.0,Chiefs,Nick Lowery 20 yard field goal,20,10
6,3.0,Raiders,Marcus Allen 2 yard rush (Chris Bahr kick),20,17
