,Quarter,Tm,Detail,BUF,NYJ
0,1.0,Jets,Kevin Long 5 yard rush (Pat Leahy kick),0,7
1,1.0,Jets,Burgess Owens 40 yard interception return (Pat Leahy kick),0,14
2,1.0,Bills,Reuben Gant 16 yard pass from Joe Ferguson (Tom Dempsey kick),7,14
3,2.0,Jets,Kevin Long 16 yard rush (Pat Leahy kick),7,21
4,2.0,Jets,Kevin Long 3 yard rush (Pat Leahy kick),7,28
5,2.0,Jets,Bruce Harper 82 yard punt return (Pat Leahy kick),7,35
6,3.0,Jets,Derrick Gaffney 18 yard pass from Matt Robinson (Pat Leahy kick),7,42
7,3.0,Jets,Pat Leahy 38 yard field goal,7,45
8,4.0,Bills,Bob Chandler 15 yard pass from Bill Munson (Tom Dempsey kick),14,45
