,Quarter,Time,Tm,Detail,JAX,TAM
0,1.0,,Buccaneers,Michael Husted 33 yard field goal,0,3
1,2.0,,Buccaneers,Errict Rhett 1 yard rush (Michael Husted kick),0,10
2,3.0,,Jaguars,Mike Hollis 22 yard field goal,3,10
3,4.0,5:15,Jaguars,Mark Brunell 9 yard rush (Mike Hollis kick),10,10
4,4.0,5:15,Buccaneers,Errict Rhett 6 yard rush (Michael Husted kick),10,17
5,4.0,5:15,Jaguars,Pete Mitchell 12 yard pass from Steve Beuerlein (pass failed),16,17
