,Quarter,Tm,Detail,ATL,SFO
0,1,49ers,"Safety, ball centered out of end zone",0,2
1,2,49ers,Steve Mike-Mayer 20 yard field goal,0,5
2,3,49ers,Kermit Johnson 1 yard rush (Steve Mike-Mayer kick),0,12
3,4,49ers,Steve Mike-Mayer 27 yard field goal,0,15
