,Quarter,Tm,Detail,PHI,PIT
0,1.0,Eagles,Bud Grant 84 yard pass from Adrian Burk (Bobby Walston kick),7,0
1,1.0,Eagles,Frank Ziegler 4 yard pass from Adrian Burk (Bobby Walston kick),14,0
2,2.0,Steelers,Jim Finks 20 yard rush,14,6
3,2.0,Eagles,Bobby Walston 32 yard field goal,17,6
4,2.0,Steelers,Ed Modzelewski 1 yard rush,17,12
5,3.0,Eagles,Frank Ziegler 3 yard rush (Bobby Walston kick),24,12
6,4.0,Steelers,Jim Finks 1 yard rush (Gary Kerkorian kick),24,19
7,4.0,Eagles,Pete Pihos 25 yard pass from Adrian Burk (Bobby Walston kick),31,19
8,4.0,Steelers,Ray Mathews 27 yard pass from Jim Finks,31,25
