,Quarter,Tm,Detail,SEA,GNB
0,1.0,Packers,Barty Smith 1 yard rush (Chester Marcol kick),0,7
1,2.0,Seahawks,Steve Raible 26 yard blocked punt return (John Leypoldt kick),7,7
2,2.0,Seahawks,John Leypoldt 48 yard field goal,10,7
3,2.0,Seahawks,John Leypoldt 44 yard field goal,13,7
4,3.0,Seahawks,Ralph Nelson 1 yard rush (John Leypoldt kick),20,7
5,3.0,Packers,Steve Odom 66 yard pass from Lynn Dickey (Chester Marcol kick),20,14
6,4.0,Packers,Barty Smith 6 yard rush (Chester Marcol kick),20,21
7,4.0,Packers,Willard Harrell 6 yard rush,20,27
