,Quarter,Time,Tm,Detail,OAK,SEA
0,1.0,,Seahawks,Todd Peterson 21 yard field goal,0,3
1,1.0,,Raiders,Napoleon Kaufman 55 yard rush (Cole Ford kick),7,3
2,1.0,,Raiders,James Jett 13 yard pass from Jeff George (Cole Ford kick),14,3
3,2.0,,Seahawks,Todd Peterson 40 yard field goal,14,6
4,2.0,,Seahawks,Brian Blades 7 yard pass from Warren Moon (pass failed),14,12
5,2.0,,Seahawks,James McKnight 42 yard pass from Warren Moon (pass failed),14,18
6,2.0,,Raiders,Cole Ford 53 yard field goal,17,18
7,2.0,,Raiders,Lionel Washington 44 yard interception return (Tim Brown pass from Jeff George),25,18
8,3.0,15:00,Raiders,James Jett 49 yard pass from Jeff George,31,18
9,3.0,15:00,Seahawks,Joey Galloway 17 yard pass from Warren Moon (Todd Peterson kick),31,25
10,3.0,15:00,Raiders,Cole Ford 32 yard field goal,34,25
11,3.0,15:00,Seahawks,Joey Galloway 28 yard pass from Warren Moon (Todd Peterson kick),34,32
12,4.0,15:00,Seahawks,Todd Peterson 38 yard field goal,34,35
13,4.0,15:00,Seahawks,Todd Peterson 25 yard field goal,34,38
14,4.0,15:00,Seahawks,Joey Galloway 2 yard pass from Warren Moon (Todd Peterson kick),34,45
