,Quarter,Time,Tm,Detail,WAS,NYG
0,2.0,12:33,Redskins,Irving Fryar 23 yard pass from Brad Johnson (Michael Husted kick),7,0
1,2.0,6:27,Redskins,Michael Husted 25 yard field goal,10,0
2,3.0,13:06,Redskins,Andre Reed 21 yard pass from Brad Johnson (Michael Husted kick failed),16,0
3,4.0,2:25,Giants,Ike Hilliard 7 yard pass from Kerry Collins,16,6
