,Quarter,Tm,Detail,SDG,TAM
0,1.0,Buccaneers,Eric Streater 26 yard pass from John Reaves (Van Tiffin kick),0,7
1,2.0,Buccaneers,Van Tiffin 41 yard field goal,0,10
2,3.0,Chargers,Jeff Gaffney 27 yard field goal,3,10
3,3.0,Chargers,Martin Sartin 2 yard rush (Jeff Gaffney kick),10,10
4,4.0,Chargers,Tim Moffett 19 yard pass from Rick Neuheisel (Jeff Gaffney kick),17,10
5,4.0,Buccaneers,Van Tiffin 45 yard field goal,17,13
