,Quarter,Tm,Detail,BUF,NOR
0,1.0,Saints,Bill McClard 42 yard field goal,0,3
1,2.0,Saints,Bob Newland 9 yard pass from Archie Manning (Bill McClard kick),0,10
2,2.0,Saints,Bill McClard 24 yard field goal,0,13
