,Quarter,Tm,Detail,DAL,CLE
0,1.0,Cowboys,Ken Willis 38 yard field goal,3,0
1,1.0,Browns,Kevin Mack 1 yard rush (Matt Stover kick),3,7
2,2.0,Cowboys,Ken Willis 25 yard field goal,6,7
3,2.0,Cowboys,Jay Novacek 3 yard pass from Troy Aikman (Ken Willis kick),13,7
4,2.0,Cowboys,Michael Irvin 4 yard pass from Troy Aikman (Ken Willis kick),20,7
5,3.0,Browns,Webster Slaughter 62 yard pass from Bernie Kosar (Matt Stover kick),20,14
6,4.0,Cowboys,Ken Willis 22 yard field goal,23,14
7,4.0,Cowboys,Ken Willis 54 yard field goal,26,14
