,Quarter,Time,Tm,Detail,MIN,DET
0,1.0,,Lions,Brett Perriman 2 yard pass from Scott Mitchell (Jason Hanson kick),0,7
1,1.0,1:56,Lions,Brett Perriman 20 yard pass from Scott Mitchell (Jason Hanson kick),0,14
2,1.0,1:56,Vikings,Jake Reed 55 yard pass from Warren Moon (Fuad Reveiz kick),7,14
3,2.0,1:56,Lions,Johnnie Morton 16 yard pass from Scott Mitchell (Jason Hanson kick),7,21
4,2.0,1:56,Vikings,David Palmer 74 yard punt return (Fuad Reveiz kick),14,21
5,2.0,7:53,Vikings,Orlando Thomas 17 yard fumble return (Fuad Reveiz kick),21,21
6,2.0,7:53,Lions,Jason Hanson 32 yard field goal,21,24
7,2.0,7:53,Vikings,Cris Carter 10 yard pass from Warren Moon (Fuad Reveiz kick),28,24
8,3.0,7:53,Vikings,Fuad Reveiz 49 yard field goal,31,24
9,3.0,7:53,Lions,Jason Hanson 40 yard field goal,31,27
10,3.0,8:48,Lions,Herman Moore 27 yard pass from Scott Mitchell (Jason Hanson kick),31,34
11,4.0,8:48,Lions,Barry Sanders 50 yard rush (Jason Hanson kick),31,41
12,4.0,8:48,Vikings,Cris Carter 7 yard pass from Warren Moon (Fuad Reveiz kick),38,41
13,4.0,8:48,Lions,Jason Hanson 39 yard field goal,38,44
