,Quarter,Tm,Detail,STL,NYG
0,1.0,Giants,Joe Morris 2 yard rush (Raul Allegre kick),0,7
1,2.0,Giants,Joe Morris 3 yard rush (Raul Allegre kick),0,14
2,2.0,Giants,Raul Allegre 26 yard field goal,0,17
3,3.0,Giants,Raul Allegre 23 yard field goal,0,20
4,4.0,Cardinals,Roy Green 15 yard pass from Stump Mitchell (Eric Schubert kick),7,20
5,4.0,Giants,Joe Morris 1 yard rush (Raul Allegre kick),7,27
