,Quarter,Time,Tm,Detail,CLE,DEN
0,1.0,6:16,Broncos,Courtland Sutton 21 yard pass from Brandon Allen (Brandon McManus kick),0,7
1,2.0,12:52,Browns,Austin Seibert 39 yard field goal,3,7
2,2.0,12:48,Broncos,Noah Fant 75 yard pass from Brandon Allen (Brandon McManus kick),3,14
3,2.0,7:17,Browns,Austin Seibert 30 yard field goal,6,14
4,2.0,3:53,Browns,Austin Seibert 27 yard field goal,9,14
5,2.0,1:52,Broncos,Brandon McManus 43 yard field goal,9,17
6,2.0,0:19,Browns,Austin Seibert 30 yard field goal,12,17
7,3.0,1:13,Broncos,Phillip Lindsay 30 yard rush (Brandon McManus kick),12,24
8,4.0,10:53,Browns,Jarvis Landry 9 yard pass from Baker Mayfield (Austin Seibert kick),19,24
