,Quarter,Tm,Detail,PHI,WAS
0,1.0,Eagles,Bobby Walston 26 yard pass from Adrian Burk (Bobby Walston kick),7,0
1,1.0,Redskins,Ed Barker 14 yard pass from Al Dorow (Ralph Felton kick),7,7
2,2.0,Eagles,Pete Pihos 18 yard pass from Adrian Burk (Bobby Walston kick),14,7
3,2.0,Eagles,Pete Pihos 19 yard pass from Adrian Burk (Bobby Walston kick),21,7
4,3.0,Eagles,Bobby Walston 5 yard pass from Adrian Burk (Bobby Walston kick),28,7
5,3.0,Redskins,Dale Atkeson 99 yard kickoff return (Ralph Felton kick),28,14
6,3.0,Eagles,Bobby Walston 4 yard pass from Adrian Burk (Bobby Walston kick),35,14
7,4.0,Eagles,Toy Ledbetter 9 yard pass from Adrian Burk (Bobby Walston kick),42,14
8,3.0,Redskins,Hugh Taylor 5 yard pass from Jack Scarbath (Ralph Felton kick),42,21
9,4.0,Eagles,Pete Pihos 3 yard pass from Adrian Burk (Bobby Walston kick),49,21
