,Quarter,Tm,Detail,BAL,CLE
0,2.0,Colts,Don Nottingham 1 yard rush (Jim O'Brien kick),7,0
1,2.0,Colts,Don Nottingham 7 yard rush (Jim O'Brien kick),14,0
2,3.0,Browns,Don Cockroft 14 yard field goal,14,3
3,3.0,Colts,Jim O'Brien 42 yard field goal,17,3
4,4.0,Colts,Jim O'Brien 15 yard field goal,20,3
