,Quarter,Tm,Detail,MIN,GNB
0,1.0,Packers,Jim Taylor 1 yard rush (Don Chandler kick),0,7
1,2.0,Vikings,Bill Brown 1 yard rush (Fred Cox kick),7,7
2,2.0,Packers,Don Chandler 11 yard field goal,7,10
3,2.0,Vikings,Fred Cox 31 yard field goal,10,10
4,3.0,Packers,Elijah Pitts 2 yard rush (Don Chandler kick),10,17
5,4.0,Vikings,Fred Cox 16 yard field goal,13,17
6,4.0,Vikings,Bill Brown 1 yard rush (Fred Cox kick),20,17
