,Quarter,Tm,Detail,RAM,CRD
0,1.0,Cardinals,Billy Dewell 32 yard pass from Paul Christman (Ward Cuff kick),0,7
1,1.0,Cardinals,Paul Christman 1 yard rush (Ward Cuff kick),0,14
2,2.0,Rams,Fred Gehrke 21 yard pass from Bob Waterfield (Bob Waterfield kick),7,14
3,2.0,Rams,Bob Waterfield 36 yard field goal,10,14
4,2.0,Cardinals,Pat Harder 3 yard rush,10,20
5,3.0,Cardinals,Elmer Angsman 2 yard rush (Ward Cuff kick),10,27
6,4.0,Cardinals,Mal Kutner 4 yard pass from Paul Christman (Ward Cuff kick),10,34
