,Quarter,Tm,Detail,KAN,IND
0,1.0,Chiefs,Nick Lowery 37 yard field goal,3,0
1,1.0,Chiefs,Robb Thomas 21 yard pass from Steve DeBerg (Nick Lowery kick),10,0
2,2.0,Chiefs,Nick Lowery 39 yard field goal,13,0
3,2.0,Colts,Dean Biasucci 38 yard field goal,13,3
4,2.0,Colts,Albert Bentley 9 yard pass from Jack Trudeau (Dean Biasucci kick),13,10
5,2.0,Chiefs,Nick Lowery 44 yard field goal,16,10
6,3.0,Chiefs,Nick Lowery 35 yard field goal,19,10
7,4.0,Colts,Dean Biasucci 21 yard field goal,19,13
8,4.0,Colts,Albert Bentley 10 yard rush (Dean Biasucci kick),19,20
9,4.0,Colts,Dean Biasucci 18 yard field goal,19,23
