,Quarter,Tm,Detail,BOS,DET
0,1.0,Lions,Frankie Sinkwich 23 yard field goal,0,3
1,1.0,Lions,Bob Keene 46 yard pass from Bob Westfall (Frankie Sinkwich kick),0,10
2,2.0,Lions,Dave Diehl 14 yard pass from Bob Westfall (Frankie Sinkwich kick),0,17
3,2.0,Lions,Elmer Hackney 4 yard rush (Frankie Sinkwich kick),0,24
4,3.0,Lions,Elmer Hackney 10 yard pass from Bob Westfall (Frankie Sinkwich kick),0,31
5,3.0,Yanks,Keith Ranspot 12 yard pass from George Cafego (Augie Lio kick),7,31
6,3.0,Lions,Elmer Hackney 4 yard rush (Frankie Sinkwich kick),7,38
