,Quarter,Tm,Detail,RAM,SFO
0,2.0,49ers,Dwight Clark 7 yard pass from Joe Montana (Ray Wersching kick),0,7
1,2.0,Rams,Mike Lansford 25 yard field goal,3,7
2,3.0,Rams,Ron Brown 86 yard kickoff return (Mike Lansford kick),10,7
3,3.0,49ers,Jerry Rice 66 yard pass from Joe Montana,10,13
4,4.0,Rams,Mike Lansford 29 yard field goal,13,13
5,4.0,49ers,Roger Craig 1 yard pass from Joe Montana (Ray Wersching kick),13,20
6,4.0,Rams,Henry Ellard 39 yard pass from Dieter Brock (Mike Lansford kick),20,20
7,4.0,Rams,Gary Green 41 yard interception return (Mike Lansford kick),27,20
