,Quarter,Tm,Detail,NOR,RAM
0,1.0,Rams,Willie Ellison 80 yard rush (David Ray kick),0,7
1,1.0,Rams,Jack Snow 37 yard pass from Roman Gabriel (David Ray kick),0,14
2,1.0,Saints,Danny Abramowicz 25 yard pass from Edd Hargett (Charlie Durkee kick),7,14
3,1.0,Rams,Travis Williams 105 yard kickoff return (David Ray kick),7,21
4,2.0,Rams,Larry Smith 5 yard rush (David Ray kick),7,28
5,2.0,Rams,Lance Rentzel 8 yard pass from Roman Gabriel (David Ray kick),7,35
6,3.0,Saints,Bob Gresham 1 yard rush (Charlie Durkee kick),14,35
7,3.0,Saints,Edd Hargett 1 yard rush (Charlie Durkee kick),21,35
8,4.0,Rams,Lance Rentzel 39 yard pass from Roman Gabriel (David Ray kick),21,42
9,4.0,Saints,Bob Gresham 1 yard rush (Charlie Durkee kick),28,42
10,4.0,Rams,David Ray 12 yard field goal,28,45
