,Quarter,Tm,Detail,GNB,MIN
0,1.0,Packers,Lavale Thomas 30 yard pass from Alan Risher (Max Zendejas kick),7,0
1,2.0,Packers,Max Zendejas 35 yard field goal,10,0
2,2.0,Packers,Max Zendejas 43 yard field goal,13,0
3,2.0,Vikings,James Brim 63 yard pass from Tony Adams (Dale Dawson kick),13,7
4,2.0,Packers,Alan Risher 13 yard rush (Max Zendejas kick),20,7
5,3.0,Vikings,James Brim 38 yard rush (Dale Dawson kick),20,14
6,4.0,Vikings,"Safety, Stepanek tackled Risher in end zone",20,16
7,4.0,Packers,Max Zendejas 34 yard field goal,23,16
