,Quarter,Tm,Detail,DUL,CLE
0,1.0,Bulldogs,Benny Friedman 4 yard rush,0,6
1,1.0,Eskimos,Ernie Nevers unknown yard rush,7,6
2,1.0,Bulldogs,Rex Thomas 70 yard pass from Benny Friedman (Benny Friedman kick),7,13
3,2.0,Bulldogs,Jim Simmons unknown yard rush,7,19
4,3.0,Bulldogs,"Safety,",7,21
5,4.0,Eskimos,Ernie Nevers unknown yard rush,13,21
6,4.0,Eskimos,Ernie Nevers unknown yard rush (Ernie Nevers kick),20,21
