,Quarter,Time,Tm,Detail,ATL,NOR
0,1.0,6:00,Saints,"Safety,",0,2
1,1.0,0:11,Saints,John Carney 22 yard field goal,0,5
2,2.0,13:18,Falcons,Jay Feely 25 yard field goal,3,5
3,2.0,9:40,Falcons,Jay Feely 20 yard field goal,6,5
4,2.0,3:25,Saints,Aaron Brooks 1 yard rush (John Carney kick),6,12
5,3.0,11:52,Saints,Donte' Stallworth 39 yard pass from Aaron Brooks (John Carney kick),6,19
6,3.0,5:45,Falcons,Warrick Dunn 16 yard rush (Jay Feely kick),13,19
7,3.0,5:32,Saints,Michael Lewis 96 yard kickoff return (John Carney kick),13,26
