,Quarter,Time,Tm,Detail,CAR,CLE
0,1.0,9:17,Panthers,Christian McCaffrey 4 yard rush (Chandler Catanzaro kick),7,0
1,1.0,7:41,Browns,Jarvis Landry 3 yard rush (Greg Joseph kick),7,7
2,2.0,14:13,Panthers,Christian McCaffrey 1 yard rush (Chandler Catanzaro kick),14,7
3,2.0,8:27,Browns,Jarvis Landry 51 yard pass from Baker Mayfield (Greg Joseph kick),14,14
4,2.0,4:03,Panthers,Chandler Catanzaro 30 yard field goal,17,14
5,2.0,0:59,Browns,Greg Joseph 49 yard field goal,17,17
6,3.0,7:11,Panthers,Chandler Catanzaro 34 yard field goal,20,17
7,4.0,13:05,Browns,Nick Chubb 4 yard rush (Greg Joseph kick failed),20,23
8,4.0,8:46,Browns,Greg Joseph 41 yard field goal,20,26
