,Quarter,Time,Tm,Detail,HOU,KAN
0,1.0,12:07,Texans,Kenny Stills 54 yard pass from Deshaun Watson (Ka'imi Fairbairn kick),7,0
1,1.0,10:13,Texans,Lonnie Johnson 10 yard blocked punt return (Ka'imi Fairbairn kick),14,0
2,1.0,1:24,Texans,Darren Fells 4 yard pass from Deshaun Watson (Ka'imi Fairbairn kick),21,0
3,2.0,10:58,Texans,Ka'imi Fairbairn 31 yard field goal,24,0
4,2.0,10:00,Chiefs,Damien Williams 17 yard pass from Patrick Mahomes (Harrison Butker kick),24,7
5,2.0,8:11,Chiefs,Travis Kelce 5 yard pass from Patrick Mahomes (Harrison Butker kick),24,14
6,2.0,6:37,Chiefs,Travis Kelce 6 yard pass from Patrick Mahomes (Harrison Butker kick),24,21
7,2.0,0:50,Chiefs,Travis Kelce 5 yard pass from Patrick Mahomes (Harrison Butker kick),24,28
8,3.0,11:28,Chiefs,Damien Williams 1 yard rush (Harrison Butker kick failed),24,34
9,3.0,4:43,Chiefs,Damien Williams 5 yard rush (Harrison Butker kick),24,41
10,3.0,0:29,Texans,Deshaun Watson 5 yard rush (Ka'imi Fairbairn kick),31,41
11,4.0,13:56,Chiefs,Blake Bell 8 yard pass from Patrick Mahomes (Harrison Butker kick),31,48
12,4.0,8:10,Chiefs,Harrison Butker 24 yard field goal,31,51
