,Quarter,Tm,Detail,NYY,NYG
0,1.0,Giants,Eddie Price 5 yard rush (Ray Poole kick),0,7
1,1.0,Giants,Bill Swiacki 23 yard pass from Charlie Conerly (Ray Poole kick),0,14
2,2.0,Giants,Ray Poole 22 yard field goal,0,17
3,2.0,Giants,Bob McChesney 10 yard pass from Charlie Conerly (Ray Poole kick),0,24
4,3.0,Giants,Gene Roberts 2 yard rush (Ray Poole kick),0,31
5,3.0,Giants,Charlie Conerly 2 yard rush (Ray Poole kick),0,38
6,4.0,Giants,Bob Jackson 57 yard rush,0,44
7,4.0,Yanks,Dan Edwards 13 yard pass from John Rauch (Chet Adams kick),7,44
8,4.0,Giants,Kelley Mote 13 yard pass from Travis Tidwell (Ray Poole kick),7,51
